Upper Cook Inlet commercial harvest by day by species 1985 to 2014,,,,,,,,
,,,,,,,,
,,,,Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum),Number Of Fish (sum)
Batch Year,Date Fishing Began (MM/DD),Stat Area Name,Stat Area,"salmon, chinook","salmon, chum","salmon, coho","salmon, pink","salmon, sockeye"
1985,07/23,#3 Bay,24790,1,,8,,
1985,07/23,Cohn,24422,253,1,707,190,"44,390"
1985,07/23,Little Jack Slough,24550,,2,834,9,178
1985,07/23,Ninilchik,24421,383,8,435,348,"10,595"
1985,07/23,Polly Creek,24540,2,181,"1,184",20,"1,829"
1985,07/23,Silver Salmon,24520,,12,150,2,276
1985,07/23,Tuxedni Bay,24530,5,322,"1,225",18,"3,378"
1985,07/23,Unknown,24430,199,6,634,70,"53,603"
1985,07/23,West Side,24610,,10,37,8,109
1985,07/24,Cohn,24422,123,1,459,140,"19,009"
1985,07/24,Little Jack Slough,24550,,,185,2,44
1985,07/24,Ninilchik,24421,133,,177,116,"4,634"
1985,07/24,Polly Creek,24540,5,222,"1,019",25,"1,736"
1985,07/24,Tuxedni Bay,24530,1,94,233,7,925
1985,07/24,Unknown,24430,64,3,443,23,"31,352"
1985,07/24,West Side,24610,1,107,121,46,328
1985,07/25,Cohn,24422,176,1,437,134,"38,046"
1985,07/25,Little Jack Slough,24550,,1,474,6,65
1985,07/25,Ninilchik,24421,310,5,599,307,"12,286"
1985,07/25,Polly Creek,24540,4,142,664,13,"1,583"
1985,07/25,Silver Salmon,24520,,59,806,13,987
1985,07/25,Tuxedni Bay,24530,4,244,319,10,"2,330"
1985,07/25,Unknown,24430,96,2,509,30,"41,468"
1985,07/25,Unknown,24440,7,245,877,78,"10,741"
1985,07/25,West Side,24610,,70,137,13,325
1985,07/26,#3 Bay,24790,1,25,454,108,"2,605"
1985,07/26,Beluga,24730,10,"3,369","3,986","1,397","7,362"
1985,07/26,Birch Hill,24780,1,2,124,15,878
1985,07/26,Chinitna,24510,,915,148,17,23
1985,07/26,Cohn,24422,130,7,426,92,"47,051"
1985,07/26,East Side,24620,2,51,"2,575",45,"4,070"
1985,07/26,Fire Island,24743,,535,"1,123",90,"3,150"
1985,07/26,Little Jack Slough,24550,,1,220,1,61
1985,07/26,Ninilchik,24421,289,4,719,239,"19,492"
1985,07/26,Polly Creek,24540,1,173,717,17,"2,221"
1985,07/26,Pt. Mackenzie,24742,,123,664,10,"1,728"
1985,07/26,Pt. Possession,24770,,577,"1,947",149,"14,634"
1985,07/26,Silver Salmon,24520,4,48,325,9,732
1985,07/26,Susitna Flats,24741,,"2,089","2,665",470,"6,476"
1985,07/26,Trading Bay,24710,4,420,"1,884",591,"3,802"
1985,07/26,Tuxedni Bay,24530,1,711,864,24,"4,692"
1985,07/26,Tyonek,24720,6,"3,781","7,371","2,604","13,615"
1985,07/26,Unknown,24430,216,7,"1,053",56,"98,308"
1985,07/26,Unknown,24440,161,"1,223","4,996",756,"72,242"
1985,07/26,West Foreland,24560,6,41,"3,379",145,"4,353"
1985,07/26,West Side,24610,3,354,"2,307",69,"2,602"
1985,07/26,,24450,164,"129,412","51,625","3,408","139,551"
1985,07/26,,24460,8,"24,117","9,950",571,"27,746"
1985,07/26,,24470,,502,207,17,511
1985,07/26,,24570,,"5,601","1,879",117,"4,377"
1985,07/26,,24580,,345,154,18,662
1985,07/26,,24590,,432,135,17,346
1985,07/27,Cohn,24422,141,1,683,105,"29,200"
1985,07/27,East Side,24620,1,3,147,2,51
1985,07/27,Little Jack Slough,24550,1,1,237,1,69
1985,07/27,Ninilchik,24421,152,2,650,142,"9,538"
1985,07/27,Polly Creek,24540,2,253,656,9,"1,368"
1985,07/27,Silver Salmon,24520,,24,190,2,372
1985,07/27,Tuxedni Bay,24530,1,174,215,5,954
1985,07/27,Unknown,24430,130,1,438,32,"43,182"
1985,07/27,Unknown,24440,132,187,"1,904",193,"32,962"
1985,07/27,West Side,24610,,195,416,30,955
1985,07/27,,24450,15,"3,372","1,751",338,"6,813"
1985,07/27,,24460,3,"2,455","1,184",173,"4,108"
1985,07/27,,24570,,190,123,19,250
1985,07/27,,24580,,62,40,2,79
1985,07/28,#3 Bay,24790,,63,323,35,"1,441"
1985,07/28,Beluga,24730,13,"5,388","5,409","2,652","8,281"
1985,07/28,Birch Hill,24780,1,35,115,12,508
1985,07/28,Cohn,24422,93,1,638,194,"14,261"
1985,07/28,East Side,24620,6,63,"2,056",84,"3,280"
1985,07/28,Fire Island,24743,,296,736,54,844
1985,07/28,Little Jack Slough,24550,,,"2,291",9,492
1985,07/28,Ninilchik,24421,153,3,784,316,"10,627"
1985,07/28,Polly Creek,24540,3,201,558,19,966
1985,07/28,Pt. Mackenzie,24742,,94,555,14,"1,007"
1985,07/28,Pt. Possession,24770,1,746,"1,468",123,"2,651"
1985,07/28,Silver Salmon,24520,1,19,194,5,299
1985,07/28,Susitna Flats,24741,3,835,"1,468",117,"2,119"
1985,07/28,Trading Bay,24710,3,169,"1,590",267,"1,873"
1985,07/28,Tuxedni Bay,24530,8,712,875,25,"4,324"
1985,07/28,Tyonek,24720,3,"1,805","4,267","2,975","5,295"
1985,07/28,Unknown,24430,231,1,677,30,"26,862"
1985,07/28,Unknown,24440,283,273,"1,532",290,"19,098"
1985,07/28,West Foreland,24560,5,51,"2,748",112,"1,601"
1985,07/28,West Side,24610,5,103,"2,040",75,"1,803"
1985,07/28,,24450,54,"21,235","9,699","2,159","38,479"
1985,07/28,,24460,58,"18,410","9,947","2,432","45,932"
1985,07/28,,24470,3,"3,818","2,109",495,"7,569"
1985,07/28,,24570,,"1,400",542,108,"1,345"
1985,07/28,,24580,1,"1,579",802,263,"3,554"
1985,07/28,,24590,3,"1,576",856,191,"2,659"
1985,07/29,#3 Bay,24790,,12,63,57,842
1985,07/29,Beluga,24730,12,"2,890","2,790","2,178","5,247"
1985,07/29,Birch Hill,24780,,1,18,9,105
1985,07/29,Chinitna,24510,,652,246,11,18
1985,07/29,Cohn,24422,50,3,403,133,"8,029"
1985,07/29,East Side,24620,6,225,"2,803",180,"3,222"
1985,07/29,Fire Island,24743,,357,508,47,680
1985,07/29,Ninilchik,24421,150,1,802,422,"8,228"
1985,07/29,Polly Creek,24540,4,167,790,26,990
1985,07/29,Pt. Mackenzie,24742,,131,450,9,"1,337"
1985,07/29,Pt. Possession,24770,1,736,695,84,"1,235"
1985,07/29,Silver Salmon,24520,,110,481,12,741
1985,07/29,Susitna Flats,24741,1,487,771,180,"1,215"
1985,07/29,Trading Bay,24710,3,62,504,362,565
1985,07/29,Tuxedni Bay,24530,1,553,661,28,"3,072"
1985,07/29,Tyonek,24720,3,818,"1,798","2,785","3,827"
1985,07/29,Unknown,24430,200,2,605,31,"13,340"
1985,07/29,Unknown,24440,316,170,"1,114",429,"7,919"
1985,07/29,West Foreland,24560,7,16,"1,282",140,717
1985,07/29,West Side,24610,4,255,"1,628",118,"1,447"
1985,07/29,,24450,53,"6,397","3,155",541,"14,689"
1985,07/29,,24460,87,"14,643","8,737","1,509","41,273"
1985,07/29,,24470,1,"4,455","2,441",436,"10,292"
1985,07/29,,24570,2,"1,134",550,83,"1,812"
1985,07/29,,24580,2,"4,110","2,501",410,"9,562"
1985,07/29,,24590,2,"1,254",706,101,"2,443"
1985,07/30,Cohn,24422,56,9,451,129,"7,341"
1985,07/30,Little Jack Slough,24550,,1,866,15,134
1985,07/30,Ninilchik,24421,135,1,"1,027",280,"6,791"
1985,07/30,Polly Creek,24540,2,158,583,11,755
1985,07/30,Silver Salmon,24520,,186,690,14,685
1985,07/30,Tuxedni Bay,24530,2,226,266,13,916
1985,07/30,Unknown,24430,99,,355,27,"8,341"
1985,07/30,Unknown,24440,226,44,725,293,"6,087"
1985,07/30,West Side,24610,,12,33,6,91
1985,07/30,,24450,58,"3,001",840,200,"6,908"
1985,07/30,,24460,12,"4,134","1,317",313,"8,570"
1985,07/31,Cohn,24422,115,8,903,134,"12,401"
1985,07/31,Ninilchik,24421,143,2,"1,104",176,"6,271"
1985,07/31,Polly Creek,24540,2,507,"1,125",39,"1,175"
1985,07/31,Silver Salmon,24520,1,138,415,9,719
1985,07/31,Tuxedni Bay,24530,8,846,"1,014",30,"4,001"
1985,07/31,Unknown,24430,112,,"1,126",32,"19,523"
1985,07/31,Unknown,24440,174,148,"1,513",277,"10,463"
1985,07/31,West Side,24610,,11,21,5,33
1985,07/31,,24460,46,"12,530","6,564","1,472","28,258"
1985,07/31,,24470,27,"2,779","1,543",458,"7,075"
1985,07/31,,24580,3,"3,840","2,091",485,"9,358"
1985,07/31,,24590,40,"5,374","3,165",761,"13,750"
1985,08/01,Cohn,24422,77,3,350,95,"4,563"
1985,08/01,Little Jack Slough,24550,,1,831,4,108
